46
reboot ukuqalisa
screen esibukweni
text umbhalo
virus gciwane
ink inki
half isigamu
internal yangaphakathi
memory enkumbulweni
paper nephepha
power kwamandla
bug imbungulu
hair izinwele
the lesi
two ezimbili
all konke
in esikhathini
of lika
the lesi
buy ukuthenga
afternoon ntambama
want bafuna
boys abafana
have kufanele 
computer ikhompyutha
with kanye
before ngaphambi
empty ezingenalutho
you wena
hunger besalamba
corrupt abakhohlakele
to ukuze
a ethile
the lesi
brown azotho
your yakho
is kuyinto
want bafuna
go hamba
my bami
ship umkhumbi
we thina
house indlu
i i
delete ukususa
necessary kunesidingo
after ngemuva
